Student,LPIPS,SSIM
113590039.png,0.0,1.0
111590062.png,0.17904731631278992,0.7681313447966274
113370239.png,0.18693269789218903,0.7378597588842237
113590051.png,0.19320616126060486,0.717216229677956
113590001.png,0.20829111337661743,0.6913917282233852
111590047.png,0.2323424369096756,0.7008839748432326
113590022.png,0.23389901220798492,0.6996869874736008
113590060.png,0.24468721449375153,0.735210525428714
113590021.png,0.2459426373243332,0.6386484573556982
113590052.png,0.2521686553955078,0.6760519835218352
113590031.png,0.2552148699760437,0.6873846328902482
111590028.png,0.2612881064414978,0.7203356187599592
113590026.png,0.2628735303878784,0.6980882430344696
113590061.png,0.2676337659358978,0.6999714471810284
113590056.png,0.2761319875717163,0.6777019100040717
113590015.png,0.2777346670627594,0.6770597876957622
113590003.png,0.2782343327999115,0.6906968270826691
112590455.png,0.2823949456214905,0.6725701051117011
113590045.png,0.28482791781425476,0.6309955252773224
112590454.png,0.2938254177570343,0.659681562532031
113590047.png,0.29465317726135254,0.7346840860912175
110590455.png,0.2964152693748474,0.6963204383230857
113AB0018.png,0.30518972873687744,0.640646079447675
113AC1012.png,0.30701154470443726,0.6927290071137313
113590044.png,0.31018683314323425,0.6114503802670274
113590004.png,0.3116950988769531,0.7385705094758277
114054809.png,0.3236851096153259,0.6600718092215331
112590040.png,0.32793641090393066,0.6544720267062426
113590036.png,0.3346759080886841,0.6186103129404588
113590043.png,0.34007641673088074,0.7547805812364121
113590025.png,0.34901484847068787,0.7547918658914556
113590062.png,0.3522762656211853,0.6162346235130453
113590050.png,0.3523021936416626,0.6128698576566599
113590002.png,0.36223381757736206,0.6291244938345046
113590028.png,0.3743366003036499,0.5837043164046417
113590018.png,0.3770907521247864,0.6131737078176038
111590042.png,0.38164860010147095,0.7625383358056718
113590011.png,0.38854604959487915,0.5971668819595547
113590042.png,0.38938695192337036,0.5934470320783346
113590010.png,0.3946632444858551,0.611884902315126
113590057.png,0.3952818512916565,0.6083927252742736
113590006.png,0.39681047201156616,0.5514898431856677
113590023.png,0.39692214131355286,0.5537519715713275
113590059.png,0.41849613189697266,0.5360021786607727
113590049.png,0.45180708169937134,0.5012712963428037
111590455.png,0.4967897832393646,0.5296774130061688
112590058.jpg,0.5266710519790649,0.43764165533185756
113590008.png,0.5324276089668274,0.4815359735378924
